no,round,q,hook,stem,choices,answer,explanation,cta
1,30,39,これ解けたら合格レベル。,次の記述のうち、國分康孝が提唱した「コーヒーカップ・モデル」の相談の初期に行う内容として、最も適切なものはどれか。,1. リレーションづくり / 2. 問題の解決 / 3. コンサルテーション / 4. ケースワーク,1. リレーションづくり,リレーションづくりはコーヒーカップ・モデルの初期段階、正しい。,答え合わせと全150問はプロフィールのリンクから。
2,30,34,キャリコン受験生の9割が迷う問題。,"次の記述のうち、アイビイ（Ivey, A. E.）が提唱したマイクロカウンセリングの「積極技法」に分類されるものとして、最も適切なものはどれか。",1. 意味の反映 / 2. 感情の反映 / 3. はげまし / 4. フィードバック,4. フィードバック,「フィードバック」は積極技法に分類される。,答え合わせと全150問はプロフィールのリンクから。
3,31,4,3秒で答えられますか？,"パーソンズ（Parsons, F.）の理論に関する次の記述のうち、適切なものはどれか。",1. 職業的発達理論と呼ばれる。 / 2. 特性―因子理論と呼ばれる。 / 3. 意思決定モデルと呼ばれる。 / 4. ナラティブ・アプローチと呼ばれる。,2. 特性―因子理論と呼ばれる。,パーソンズの理論は特性・因子理論と呼ばれる。,答え合わせと全150問はプロフィールのリンクから。
4,31,19,本番で出たらどうする？,次に挙げる厚生労働省の報道発表資料等のうち、有効求人倍率を毎月公表しているものとして、適切なものはどれか。,1. 一般職業紹介状況（職業安定業務統計） / 2. 毎月勤労統計調査 / 3. 労働経済動向調査 / 4. 労働経済分析レポート,1. 一般職業紹介状況（職業安定業務統計）,有効求人倍率は「一般職業紹介状況（職業安定業務統計）」で毎月公表されている。,答え合わせと全150問はプロフィールのリンクから。
5,30,16,この問題、意外と落とします。,次の記述のうち、（ ）に当てはまる語句として、適切なものはどれか。日本の女性の年齢階級別労働力率の特徴として、（ ）字カーブがあるとされ、近年この傾向は弱まっているものの、現在も…,1. L / 2. M / 3. U / 4. 逆U,2. M,日本の女性の年齢階級別労働力率はM字カーブが特徴（近年は浅くなっているが依然存在）。,答え合わせと全150問はプロフィールのリンクから。
6,29,10,これ解けたら合格レベル。,カウンセリングの理論や心理療法の名称とキーワードに関する次の記述のうち、組み合わせとして最も適切なものはどれか。,1. 精神分析 ・・・「今、ここ」での気づき / 2. 来談者中心療法 ・・・不合理な信念 / 3. 交流分析・・・ゲーム / 4. 論理療法・・・成長への意思,3. 交流分析・・・ゲーム,交流分析のキーワードには「ゲーム」（バーンの著書名でも有名）「ストローク」「脚本」等が含まれ、正しい組み合わせ。,答え合わせと全150問はプロフィールのリンクから。
7,30,4,キャリコン受験生の9割が迷う問題。,"次の語句のうち、レント、ブラウンとハケット（Lent, R. W., Brown, S. D. & Hackett,G.）が提唱した社会認知的キャリア理論に含まれる概念として、最…",1. 学習経験 / 2. 自己効力感 / 3. 自我同一性 / 4. 結果予期（結果期待）,3. 自我同一性,最も不適切。「自我同一性」はエリクソンやマーシャの概念であり、SCCTの構成概念ではない。,答え合わせと全150問はプロフィールのリンクから。
8,29,5,3秒で答えられますか？,"ハーズバーグ（Herzberg, F.）が提唱した職務満足の理論に関する次の文章のうち、（ ）に入る語句として、最も適切なものはどれか。職務満足や不満足を規定する要因は2つあり、…",1. 自律 / 2. 動機づけ / 3. 報奨 / 4. 成長,2. 動機づけ,満足感と関係が強いのは「動機づけ要因」。衛生要因（給与・対人関係・労働条件等）は不満足に関連する。,答え合わせと全150問はプロフィールのリンクから。
9,29,42,本番で出たらどうする？,「中学校職場体験ガイド」（文部科学省、平成17年）で示された、職場体験の教育的意義に関する次の記述のうち、最も不適切なものはどれか。,1. 望ましい勤労観、職業観の育成 / 2. 啓発的経験と進路意識の伸長 / 3. 社会の構成員として共に生きる心を養い、社会奉仕の精神の涵養 / 4. 自律的・主体的かつ継続的な学び・学び直し,4. 自律的・主体的かつ継続的な学び・学び直し,最も不適切。「自律的・主体的な学び・学び直し」は成人向けガイドラインの用語で、この文脈とは異なる。,答え合わせと全150問はプロフィールのリンクから。
10,30,36,この問題、意外と落とします。,ファシリテーターがグループワークを実践する際の心構えや、考え方に関する次の記述のうち、最も適切なものはどれか。,1. うまくいくかどうかはファシリテーター次第である。 / 2. 楽しむよりも、歯を食いしばって頑張ることを優先する。 / 3. 準備を徹底すれば、受け入れがたい事態は起こらない。 / 4. 参加者の成長の力を信じる。,4. 参加者の成長の力を信じる。,参加者の成長の力を信じる、は適切なファシリテーターの心構え。,答え合わせと全150問はプロフィールのリンクから。
